JobID|State|ElapsedRaw|TotalCPU|AllocCPUS|ReqTRES|AllocTRES|MaxRSS|ExitCode
11942773|COMPLETED|14|00:12.768|1|billing=1,cpu=1,mem=4096M,node=1|billing=1,cpu=1,energy=8190,mem=4096M,node=1||0:0
11942773.batch|COMPLETED|14|00:12.768|1||cpu=1,mem=4096M,node=1|815.51M|0:0
11942773.extern|COMPLETED|14|00:00:00|1||billing=1,cpu=1,mem=4096M,node=1||0:0
11942890|COMPLETED|22|00:20.796|1|billing=1,cpu=1,mem=2048M,node=1|billing=1,cpu=1,energy=10892,mem=2048M,node=1||0:0
11942890.batch|COMPLETED|22|00:20.796|1||cpu=1,mem=2048M,node=1|1334.73M|0:0
11942890.extern|COMPLETED|22|00:00:00|1||billing=1,cpu=1,mem=2048M,node=1||0:0
11942910_0|COMPLETED|3909|31:56.188|1|billing=1,cpu=1,mem=4096M,node=1|billing=1,cpu=1,energy=2135994,mem=4096M,node=1||0:0
11942910_0.batch|COMPLETED|3909|31:56.188|1||cpu=1,mem=4096M,node=1|4083.96M|0:0
11942910_0.extern|COMPLETED|3909|00:00:00|1||billing=1,cpu=1,mem=4096M,node=1||0:0
11942910_1|COMPLETED|4089|36:30.127|1|billing=1,cpu=1,mem=4096M,node=1|billing=1,cpu=1,energy=2223823,mem=4096M,node=1||0:0
11942910_1.batch|COMPLETED|4089|36:30.127|1||cpu=1,mem=4096M,node=1|4083.97M|0:0
11942910_1.extern|COMPLETED|4089|00:00:00|1||billing=1,cpu=1,mem=4096M,node=1||0:0
11942910_2|COMPLETED|3106|34:11.142|1|billing=1,cpu=1,mem=4096M,node=1|billing=1,cpu=1,energy=1719424,mem=4096M,node=1||0:0
11942910_2.batch|COMPLETED|3106|34:11.142|1||cpu=1,mem=4096M,node=1|4083.96M|0:0
11942910_2.extern|COMPLETED|3106|00:00:00|1||billing=1,cpu=1,mem=4096M,node=1||0:0
11942910_3|COMPLETED|3310|30:32.476|1|billing=1,cpu=1,mem=4096M,node=1|billing=1,cpu=1,energy=1825418,mem=4096M,node=1||0:0
11942910_3.batch|COMPLETED|3310|30:32.476|1||cpu=1,mem=4096M,node=1|4084.00M|0:0
11942910_3.extern|COMPLETED|3310|00:00:00|1||billing=1,cpu=1,mem=4096M,node=1||0:0
11942910_4|COMPLETED|3199|29:33.553|1|billing=1,cpu=1,mem=4096M,node=1|billing=1,cpu=1,energy=1769040,mem=4096M,node=1||0:0
11942910_4.batch|COMPLETED|3199|29:33.553|1||cpu=1,mem=4096M,node=1|4083.95M|0:0
11942910_4.extern|COMPLETED|3199|00:00:00|1||billing=1,cpu=1,mem=4096M,node=1||0:0
11942910_5|COMPLETED|3800|35:05.714|1|billing=1,cpu=1,mem=4096M,node=1|billing=1,cpu=1,energy=2079700,mem=4096M,node=1||0:0
11942910_5.batch|COMPLETED|3800|35:05.714|1||cpu=1,mem=4096M,node=1|4083.98M|0:0
11942910_5.extern|COMPLETED|3800|00:00:00|1||billing=1,cpu=1,mem=4096M,node=1||0:0
11942910_6|COMPLETED|3850|33:54.163|1|billing=1,cpu=1,mem=4096M,node=1|billing=1,cpu=1,energy=2105824,mem=4096M,node=1||0:0
11942910_6.batch|COMPLETED|3850|33:54.163|1||cpu=1,mem=4096M,node=1|4083.98M|0:0
11942910_6.extern|COMPLETED|3850|00:00:00|1||billing=1,cpu=1,mem=4096M,node=1||0:0
11942910_7|COMPLETED|3128|33:56.463|1|billing=1,cpu=1,mem=4096M,node=1|billing=1,cpu=1,energy=1730890,mem=4096M,node=1||0:0
11942910_7.batch|COMPLETED|3128|33:56.463|1||cpu=1,mem=4096M,node=1|4083.95M|0:0
11942910_7.extern|COMPLETED|3128|00:00:00|1||billing=1,cpu=1,mem=4096M,node=1||0:0
11942925|COMPLETED|14|00:12.102|1|billing=1,cpu=1,mem=2048M,node=1|billing=1,cpu=1,energy=7154,mem=2048M,node=1||0:0
11942925.batch|COMPLETED|14|00:12.102|1||cpu=1,mem=2048M,node=1|1325.02M|0:0
11942925.extern|COMPLETED|14|00:00:00|1||billing=1,cpu=1,mem=2048M,node=1||0:0
