JobID|AveCPU|MaxRSS|AveRSS|MaxPages|MaxDiskRead|MaxDiskWrite
11942911.extern|213503982334-14:25:51|||||
11942911.batch|00:16:40|4181972K|4178896K|0|222590837667|43942230911
11942912.extern|213503982334-14:25:51|||||
11942912.batch|00:18:41|4181988K|4178680K|0|246602888969|48864185702
11942913.extern|213503982334-14:25:51|||||
11942913.batch|00:26:56|4181980K|4178684K|0|353611253277|70478457156
11942914.extern|213503982334-14:25:51|||||
11942914.batch|00:21:26|4182012K|4179464K|0|282259436432|56273437083
11942915.extern|213503982334-14:25:51|||||
11942915.batch|00:22:48|4181964K|4178660K|0|304964500007|60754217213
11942916.extern|213503982334-14:25:51|||||
11942916.batch|00:19:09|4181992K|4178668K|0|238230459269|47591826056
11942917.extern|213503982334-14:25:51|||||
11942917.batch|00:16:06|4181992K|4178624K|0|223638728702|44842163368
11942910.extern|213503982334-14:25:51|||||
11942910.batch|00:24:59|4181968K|4178920K|0|307505217108|61258794532
